PolicyID,TotalHedgeGains,Excel,Difference
1022,1377.700355,1377.700355,-4.31923E-07
514,246.6793,246.6793004,-4.30049E-07
1124,62.12775,62.12775043,-4.29434E-07
568,99.514424,99.51442443,-4.28355E-07
156,35.777154,35.77715443,-4.2792E-07
1068,271.837385,271.8373854,-4.2781E-07
2624,650.568747,650.5687474,-4.26986E-07
1862,5817.713305,5817.713305,-4.24388E-07
226,9.10641,9.10641042,-4.20273E-07
494,5727.018433,5727.018433,-4.13837E-07
1740,3184.455375,3184.455375,-4.13695E-07
862,1166.572181,1166.572181,-4.13144E-07
294,109.236868,109.2368684,-4.1205E-07
1444,1772.526928,1772.526928,-4.09029E-07
1704,3631.877013,3631.877013,-4.08236E-07
276,7857.913401,7857.913401,-4.0751E-07
908,1709.75449,1709.75449,-4.07507E-07
2638,135.074846,135.0748464,-4.06E-07
878,799.403921,799.4039214,-4.03163E-07
842,142.674792,142.6747924,-4.02446E-07
2580,984.975643,984.9756434,-4.01072E-07
528,3911.277325,3911.277325,-4.00076E-07
1086,3042.613122,3042.613122,-3.98972E-07
962,555.746349,555.7463494,-3.96433E-07
678,318.544686,318.5446864,-3.94618E-07
2632,4001.022274,4001.022274,-3.8961E-07
2700,922.694089,922.6940894,-3.88403E-07
1262,73.569276,73.56927639,-3.88299E-07
1820,1072.422551,1072.422551,-3.87789E-07
2398,274.907838,274.9078384,-3.87675E-07
416,4844.571315,4844.571315,-3.87623E-07
1910,245.47505,245.4750504,-3.87218E-07
1016,636.631909,636.6319094,-3.86079E-07
2746,403.216111,403.2161114,-3.85607E-07
1036,7976.820499,7976.820499,-3.84319E-07
1778,1500.122632,1500.122632,-3.84196E-07
1966,100.990083,100.9900834,-3.83605E-07
1314,5108.112805,5108.112805,-3.76182E-07
2074,4004.640137,4004.640137,-3.75385E-07
1348,175.604187,175.6041874,-3.7494E-07
762,721.014839,721.0148394,-3.74496E-07
172,20.201246,20.20124637,-3.73654E-07
2420,2286.787498,2286.787498,-3.72997E-07
342,354.679856,354.6798564,-3.72629E-07
184,397.290467,397.2904674,-3.70611E-07
232,29.563028,29.56302837,-3.70128E-07
994,121.917502,121.9175024,-3.70092E-07
2742,7345.749719,7345.749719,-3.69609E-07
708,87.204162,87.20416237,-3.68525E-07
772,2785.598751,2785.598751,-3.68016E-07
1976,529.210321,529.2103214,-3.66276E-07
884,1681.750135,1681.750135,-3.65949E-07
1606,1548.330648,1548.330648,-3.62599E-07
240,130.586037,130.5860374,-3.60785E-07
292,84.579456,84.57945636,-3.58026E-07
2362,782.913481,782.9134814,-3.56683E-07
482,442.872953,442.8729534,-3.54117E-07
1066,512.895103,512.8951034,-3.52997E-07
2538,154.460414,154.4604144,-3.5081E-07
540,728.687901,728.6879013,-3.49318E-07
256,41.374825,41.37482535,-3.47804E-07
1842,2853.921905,2853.921905,-3.47329E-07
1256,2442.491725,2442.491725,-3.47104E-07
1714,949.7581,949.7581003,-3.46552E-07
2198,1722.27947,1722.27947,-3.46462E-07
2334,596.168012,596.1680123,-3.46395E-07
1840,807.800744,807.8007443,-3.45753E-07
2196,1484.206136,1484.206136,-3.43266E-07
2762,528.759785,528.7597853,-3.43021E-07
888,2460.16341,2460.16341,-3.42767E-07
2070,9964.908708,9964.908708,-3.4115E-07
2758,394.174066,394.1740663,-3.39811E-07
998,199.743308,199.7433083,-3.3924E-07
1692,228.803705,228.8037053,-3.37897E-07
2510,3861.142337,3861.142337,-3.36954E-07
1912,581.948442,581.9484423,-3.36186E-07
704,62.695445,62.69544533,-3.33124E-07
2310,4343.731909,4343.731909,-3.33107E-07
932,230.835953,230.8359533,-3.32852E-07
712,112.894011,112.8940113,-3.32675E-07
1198,6842.532002,6842.532002,-3.32494E-07
848,58.243442,58.24344233,-3.32377E-07
474,7919.64219,7919.64219,-3.31832E-07
2394,171.257895,171.2578953,-3.30963E-07
2378,2272.886484,2272.886484,-3.30601E-07
1212,203.749919,203.7499193,-3.28913E-07
2682,667.720983,667.7209833,-3.2655E-07
1274,82.73684,82.73684033,-3.26421E-07
1072,196.147334,196.1473343,-3.26269E-07
1422,1753.971798,1753.971798,-3.26113E-07
1980,784.829828,784.8298283,-3.25281E-07
2658,1083.325174,1083.325174,-3.2522E-07
1316,7607.120892,7607.120892,-3.24503E-07
1576,447.900897,447.9008973,-3.22049E-07
1400,2374.159692,2374.159692,-3.21888E-07
506,194.194393,194.1943933,-3.20757E-07
1464,734.492681,734.4926813,-3.19106E-07
2112,258.171949,258.1719493,-3.19064E-07
534,1239.672914,1239.672914,-3.1544E-07
2582,522.082987,522.0829873,-3.14983E-07
2748,234.885879,234.8858793,-3.14377E-07
1140,186.75802,186.7580203,-3.1314E-07
1852,1836.546247,1836.546247,-3.12619E-07
1238,235.398734,235.3987343,-3.1222E-07
1768,447.444953,447.4449533,-3.10767E-07
820,1467.37614,1467.37614,-3.09254E-07
1328,1000.053575,1000.053575,-3.06855E-07
1562,1177.628476,1177.628476,-3.06251E-07
272,1708.437728,1708.437728,-3.04784E-07
2100,1027.355309,1027.355309,-3.04524E-07
2568,1475.973962,1475.973962,-3.02521E-07
844,78.0827,78.0827003,-3.01594E-07
896,7897.884816,7897.884816,-2.99027E-07
1936,2625.400474,2625.400474,-2.98659E-07
1940,3060.49576,3060.49576,-2.96559E-07
2668,52.247354,52.24735429,-2.94957E-07
1074,256.294638,256.2946383,-2.94807E-07
2640,179.456029,179.4560293,-2.94426E-07
444,1241.240147,1241.240147,-2.94302E-07
1084,838.78232,838.7823203,-2.93325E-07
1330,1219.510368,1219.510368,-2.93199E-07
374,232.025749,232.0257493,-2.91947E-07
544,1259.793057,1259.793057,-2.89182E-07
2162,4061.83913,4061.83913,-2.88701E-07
1218,441.68932,441.6893203,-2.88249E-07
16,57.39835,57.39835029,-2.86601E-07
1914,795.289891,795.2898913,-2.85945E-07
2000,4408.617088,4408.617088,-2.84274E-07
1170,5290.803219,5290.803219,-2.81007E-07
376,304.323265,304.3232653,-2.79963E-07
1122,102.405281,102.4052813,-2.79082E-07
356,4420.259554,4420.259554,-2.77098E-07
596,1089.913111,1089.913111,-2.7501E-07
1088,3338.041578,3338.041578,-2.74988E-07
576,186.807534,186.8075343,-2.73795E-07
370,71.356078,71.35607827,-2.73585E-07
1624,5687.02272,5687.02272,-2.72769E-07
812,3693.609191,3693.609191,-2.70257E-07
2654,1069.031822,1069.031822,-2.6587E-07
286,19.44017,19.44017027,-2.65779E-07
2560,861.869162,861.8691623,-2.63261E-07
602,1576.982338,1576.982338,-2.63082E-07
1416,133.30975,133.3097503,-2.62617E-07
298,304.912398,304.9123983,-2.61627E-07
1806,2693.526123,2693.526123,-2.60811E-07
76,2017.73492,2017.73492,-2.57372E-07
788,285.143897,285.1438973,-2.55341E-07
1000,248.777817,248.7778173,-2.54748E-07
2244,142.960162,142.9601623,-2.54027E-07
2466,1043.162361,1043.162361,-2.53324E-07
412,1979.533271,1979.533271,-2.52985E-07
702,106.589823,106.5898233,-2.52132E-07
2608,260.835231,260.8352313,-2.50755E-07
720,248.36483,248.3648303,-2.50228E-07
1364,468.838589,468.8385892,-2.48919E-07
776,3787.942095,3787.942095,-2.47117E-07
2250,138.835999,138.8359992,-2.46595E-07
960,433.661301,433.6613012,-2.46062E-07
2108,202.016203,202.0162032,-2.45886E-07
2652,439.294647,439.2946472,-2.45681E-07
196,2040.712106,2040.712106,-2.42E-07
44,446.886803,446.8868032,-2.40103E-07
150,12.065794,12.06579424,-2.39603E-07
2308,3490.005869,3490.005869,-2.39382E-07
300,317.20234,317.2023402,-2.3933E-07
2104,122.378473,122.3784732,-2.37653E-07
2778,336.024854,336.0248542,-2.37442E-07
1992,2377.956105,2377.956105,-2.35774E-07
938,512.745982,512.7459822,-2.35133E-07
984,71.57296,71.57296023,-2.34601E-07
538,310.988917,310.9889172,-2.34031E-07
826,2005.667449,2005.667449,-2.32503E-07
2518,5150.322504,5150.322504,-2.3238E-07
2004,5881.306564,5881.306564,-2.30177E-07
2776,716.05231,716.0523102,-2.29377E-07
268,652.48976,652.4897602,-2.29061E-07
2422,2885.733361,2885.733361,-2.27365E-07
314,220.973057,220.9730572,-2.2619E-07
1182,614.431177,614.4311772,-2.25702E-07
368,115.019769,115.0197692,-2.25186E-07
1344,7211.968679,7211.968679,-2.23293E-07
200,36.70675,36.70675022,-2.23219E-07
816,1397.333783,1397.333783,-2.2257E-07
590,1526.615247,1526.615247,-2.22512E-07
414,4614.471096,4614.471096,-2.2006E-07
818,627.066211,627.0662112,-2.19842E-07
132,830.974776,830.9747762,-2.18529E-07
2300,3396.442438,3396.442438,-2.1765E-07
856,172.67092,172.6709202,-2.16812E-07
36,102.632606,102.6326062,-2.15534E-07
692,1558.982733,1558.982733,-2.13987E-07
910,2164.912618,2164.912618,-2.1307E-07
1598,386.655057,386.6550572,-2.1243E-07
274,5054.07777,5054.07777,-2.11338E-07
2578,1911.293247,1911.293247,-2.10774E-07
584,1620.284826,1620.284826,-2.07557E-07
1720,3954.13643,3954.13643,-2.07028E-07
790,159.749947,159.7499472,-2.06725E-07
600,1357.429439,1357.429439,-2.06508E-07
2374,4718.976106,4718.976106,-2.05829E-07
936,396.438723,396.4387232,-2.05338E-07
2714,5340.475361,5340.475361,-2.05095E-07
2186,1320.157863,1320.157863,-2.02616E-07
1308,1195.745575,1195.745575,-2.00274E-07
2086,2847.139499,2847.139499,-1.99222E-07
1684,83.162699,83.1626992,-1.98834E-07
2228,7243.523068,7243.523068,-1.98581E-07
2500,1423.882741,1423.882741,-1.98004E-07
454,202.805509,202.8055092,-1.97909E-07
1938,1309.566912,1309.566912,-1.97296E-07
1190,1707.031168,1707.031168,-1.95506E-07
1144,691.683308,691.6833082,-1.95005E-07
1824,68.162926,68.16292619,-1.94963E-07
346,1129.444371,1129.444371,-1.94653E-07
1210,149.238731,149.2387312,-1.93374E-07
344,834.42226,834.4222602,-1.92636E-07
894,6840.038871,6840.038871,-1.92534E-07
496,5510.943633,5510.943633,-1.92377E-07
1102,723.087359,723.0873592,-1.92325E-07
698,3422.82885,3422.82885,-1.91354E-07
466,2794.500115,2794.500115,-1.91249E-07
1868,16644.18625,16644.18625,-1.90768E-07
674,1584.273831,1584.273831,-1.90463E-07
1838,790.235065,790.2350652,-1.90123E-07
756,5126.352354,5126.352354,-1.8684E-07
1370,2336.08542,2336.08542,-1.86364E-07
2060,2028.682644,2028.682644,-1.8514E-07
2496,2557.866667,2557.866667,-1.84682E-07
206,232.303835,232.3038352,-1.82409E-07
1078,435.121594,435.1215942,-1.80608E-07
744,1867.087477,1867.087477,-1.80309E-07
868,3305.996684,3305.996684,-1.77913E-07
1722,4995.227996,4995.227996,-1.77473E-07
604,1869.884598,1869.884598,-1.75597E-07
982,130.77201,130.7720102,-1.74392E-07
320,926.573531,926.5735312,-1.71962E-07
